food_id,food_name,category,state,region,region_code,diet_type,diet_code,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,prebiotic_score,fodmap_level,is_fermented,description,clinical_benefit,image_path
1,Paneer Do Pyaza,Main_Course,Pan-India,Pan-India,6,veg,0,291,11.7,7.9,18.5,0.0,0,High,0,"Authentic Pan-India preparation of Paneer Do Pyaza, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/1.jpg
2,Capsicum Masala,Side_Dish,Pan-India,Pan-India,6,veg,0,177,4.7,21.7,5.2,5.3,3,High,0,"Authentic Pan-India preparation of Capsicum Masala, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/2.jpg
3,Chana Dal Dhaba Style,Dals_Legumes,Pan-India,Pan-India,6,veg,0,234,13.8,42.1,3.1,10.4,7,High,0,"Authentic Pan-India preparation of Chana Dal Dhaba Style, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/3.jpg
4,Lauki Masala,Side_Dish,Pan-India,Pan-India,6,veg,0,129,5.7,16.1,7.2,3.5,2,High,0,"Authentic Pan-India preparation of Lauki Masala, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/4.jpg
5,Papdi Chaat,Snacks,Pan-India,Pan-India,6,veg,0,146,5.5,16.9,7.9,3.9,2,Medium,0,"Authentic Pan-India preparation of Papdi Chaat, served as a snacks.","Provides authentic, calorically dense macronutrients for energy restoration.",images/5.jpg
6,Urad Dal Lasooni,Dals_Legumes,Pan-India,Pan-India,6,veg,0,228,13.7,37.7,5.8,13.0,9,High,0,"Authentic Pan-India preparation of Urad Dal Lasooni, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/6.jpg
7,Prawn Lababdar,Main_Course,Pan-India,Pan-India,6,non-veg,1,200,16.8,9.8,10.1,0.2,0,Medium,0,"Authentic Pan-India preparation of Prawn Lababdar, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/7.jpg
8,Mix Veg Butter Masala,Main_Course,Pan-India,Pan-India,6,veg,0,225,4.0,30.6,19.0,3.7,2,High,0,"Authentic Pan-India preparation of Mix Veg Butter Masala, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/8.jpg
9,Jackfruit Makhani,Main_Course,Punjab,North,1,veg,0,212,5.0,26.1,19.4,4.9,3,High,0,"Authentic Punjab preparation of Jackfruit Makhani, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/9.jpg
10,Chicken Amritsari Fry,Appetizers,Punjab,North,1,non-veg,1,221,26.9,0.5,14.2,0.0,0,Medium,0,"Authentic Punjab preparation of Chicken Amritsari Fry, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/10.jpg
11,Crab Kadai,Main_Course,Pan-India,Pan-India,6,non-veg,1,191,5.6,18.7,4.9,2.2,1,Medium,0,"Authentic Pan-India preparation of Crab Kadai, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/11.jpg
12,Mutton Amritsari Fry,Appetizers,Punjab,North,1,non-veg,1,290,22.7,5.6,21.9,2.2,1,Medium,0,"Authentic Punjab preparation of Mutton Amritsari Fry, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/12.jpg
13,Mushroom Achari Tikka,Appetizers,Punjab,North,1,veg,0,61,3.3,12.6,0.7,4.2,2,Medium,0,"Authentic Punjab preparation of Mushroom Achari Tikka, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/13.jpg
14,Rajma Makhani,Dals_Legumes,Punjab,North,1,veg,0,358,13.1,45.6,17.0,12.5,8,High,0,"Authentic Punjab preparation of Rajma Makhani, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/14.jpg
15,Mix Veg Korma,Main_Course,Uttar Pradesh,North,1,veg,0,164,3.5,19.4,6.1,3.0,2,Medium,0,"Authentic Uttar Pradesh preparation of Mix Veg Korma, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/15.jpg
16,Egg Bhajiya,Snacks,Pan-India,Pan-India,6,non-veg,1,137,12.2,2.9,14.1,0.0,0,Medium,0,"Authentic Pan-India preparation of Egg Bhajiya, served as a snacks.","Provides authentic, calorically dense macronutrients for energy restoration.",images/16.jpg
17,Prawn Do Pyaza,Main_Course,Pan-India,Pan-India,6,non-veg,1,179,20.4,3.3,9.3,0.6,0,Medium,0,"Authentic Pan-India preparation of Prawn Do Pyaza, served as a main course.",Supports lean muscle synthesis without aggravating bile-tolerant pathogens.,images/17.jpg
18,Yellow Dal Palak,Dals_Legumes,Pan-India,Pan-India,6,veg,0,234,13.0,41.9,3.6,16.4,10,High,0,"Authentic Pan-India preparation of Yellow Dal Palak, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/18.jpg
19,Kofta Kolhapuri,Main_Course,Maharashtra,West,3,veg,0,150,5.8,19.8,6.0,4.1,2,Medium,0,"Authentic Maharashtra preparation of Kofta Kolhapuri, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/19.jpg
